연번,지번주소,도로명 주소,위도,경도
72,서울특별시 강남구 역삼동 830-20,서울특별시 강남구 역삼로5길 7,37.4942940126,127.0321933735
73,서울특별시 강남구 역삼동 827-68,서울특별시 강남구강남대로 78길 35,37.4957088628,127.0321966949
74,서울특별시 강남구 역삼동 828-19,서울특별시 강남구 테헤란로 10길 30,37.4971396883,127.0327541412
75,서울특별시 강남구 역삼동 796-2,서울특별시 강남구 논현로67길 13,37.4939337472,127.0389216198
76,서울특별시 강남구 역삼동 796-5,서울특별시 강남구 논현로67길 13-3,37.4938153364,127.0389776462
77,서울특별시 강남구 역삼동 834-68,서울특별시 강남구 논현로57길 60,37.4930883678,127.0350675553
78,서울특별시 강남구 역삼동 836-26,서울특별시 강남구 강남대로 66길 32,37.4922851473,127.0334185028
79,서울특별시 강남구 역삼동 835-54,,37.4921387441,127.0353736053
80,서울특별시 강남구 역삼동 794-22,서울특별시 강남구 도곡로 17길 18,37.4925916120,127.0372285914
81,서울특별시 강남구 역삼동 793-32,서울특별시 강남구 도곡로 17길 11,37.4922818379,127.0369665490
82,서울특별시 강남구 역삼동  741-33 ,서울특별시 강남구  테헤란로16길 42,37.4968582322,127.0345863325
83,서울특별시 강남구 역삼동 795-25,서울특별시 강남구 도곡로 21길 7,37.4925927947,127.0388717349
84,서울특별시 강남구 역삼동 796-14,서울특별시 강남구 논현로 65길 14,37.4934317987,127.0391864182
85,서울특별시 강남구 역삼동 795-12,서울특별시 강남구 논현로 65길 26,37.4931679960,127.0383252945
86,서울특별시 강남구 역삼동 795-15,서울특별시 강남구 논현로 65길 30,37.4930106103,127.0379836022
87,서울특별시 강남구 역삼동 794-17,서울특별시 강남구 논현로65길 34 ,37.4929188128,127.0376548352
88,서울특별시 강남구 역삼동 794-25,서울특별시 강남구 도곡로19길 11,37.4924719914,127.0379738308
89,서울특별시 강남구 역삼동 674-43,서울특별시 강남구 테헤란로 39길 31,37.5045375342,127.0407174409
90,서울특별시 강남구 역삼동 674-4,서울특별시 강남구 테헤란로37길 36,37.5046077197,127.0401993837
91,서울특별시 강남구 역삼동 663-2,서울특별시 강남구 논현로102길 40,37.5056614307,127.0383466092
92,서울특별시 강남구 역삼동 663-29,서울특별시 강남구 언주로99길 14,37.5057904641,127.0396818012
93,서울특별시 강남구 역삼동 663-26,서울특별시 강남구 언주로99길 20,37.5056286291,127.0391853280
94,서울특별시 강남구 역삼동 663-22,서울특별시 강남구 언주로99길 26,37.5054462424,127.0387093170
95,서울특별시 강남구 역삼동 664,서울특별시 강남구 봉은사로34길 51,37.5051164155,127.0383377351
96,서울특별시 강남구 역삼동 660-32,서울특별시 강남구 봉은사로34길 38,37.5059515916,127.0376706543
97,서울특별시 강남구 역삼동 661-21,서울특별시 강남구 언주로103길 15,37.5064646201,127.0387960245
98,서울특별시 강남구 역삼동 656-20,서울특별시 강남구 테헤란로 39길 77,37.5071349195,127.0389430626
99,서울특별시 강남구 역삼동 655-13,서울특별시 강남구 봉은사로34길 21,37.5069551880,127.0372068826
100,서울특별시 강남구 역삼동 650-20,서울특별시 강남구 논현로 566,37.5070324421,127.0347144182
101,서울특별시 강남구 역삼동 608-27,서울특별시 강남구 논현로101길 16,37.5043359707,127.0335820950
102,서울특별시 강남구 역삼동 608-25,서울특별시 강남구 봉은사로20길 43,37.5043409719,127.0331012124
103,서울특별시 강남구 역삼동 609-23,서울특별시 강남구 봉은사로20길 37,37.5046324841,127.0326446570
104,서울특별시 강남구 역삼동 609-8,서울특별시 강남구봉은사로20길 31,37.5048162105,127.0322751364
105,서울특별시 강남구 역삼동 610-9,서울특별시 강남구 봉은사로20길 23,37.5051538051,127.0316536985
106,서울특별시 강남구 역삼동 614-14,서울특별시 강남구 봉은사로18길24,37.5048508035,127.0298996633
107,서울특별시 강남구 역삼동 615-46,서울특별시 강남구 븡은사로16길 38,37.5041706329,127.0284469013
108,서울특별시 강남구 역삼동 619-7,서울특별시 강남구 강남대로100길 13-7,37.5022213561,127.0274796692
109,서울특별시 강남구 역삼동 619-24,서울특별시 강남구 봉은사로18길 82 ,37.5013828810,127.0274755168
110,서울특별시 강남구 역삼동 620-21,서울특별시 강남구 테헤란로5길 41,37.5013136656,127.0290574167
111,서울특별시 강남구 역삼동 666-14 ,서울특별시 강남구 봉은사로30길 47,37.5045619468,127.0363098576
112,서울특별시 강남구 역삼동 621-34,서울특별시 강남구 테헤란로5길 55,37.5021464987,127.0292872049
113,서울특별시 강남구 일원1동 627-15,서울특별시 강남구 일원로3길 55 (일원동),37.4927426947,127.0843597391
114,서울특별시 강남구 일원1동 627,서울특별시 강남구 개포로128길 35 (일원동),37.4929200673,127.0842834973
